AgCode,PpCode,DmCode,VaCode,Estimate,LSE,LowerCIB,UpperCIB,Flag
A005,P002,D004,T003,11.2,1.8,9.4,13,
A005,P002,D004,T004,100,,,,NA
A005,P002,D005,B001,7.1,1,6.1,8.1,
A005,P002,D005,B002,92.9,1,91.9,93.9,
A005,P002,D005,B003,100,,,,NA
A005,P002,D006,R001,3,0.9,2.1,3.9,
A005,P002,D006,R002,37,2.6,34.4,39.6,
A005,P002,D006,R003,10.2,1.6,8.6,11.8,
A005,P002,D006,R004,6.5,1.3,5.2,7.8,
A005,P002,D006,R005,3.8,1,2.8,4.8,
A005,P002,D006,R006,2.6,0.8,1.8,3.4,
A005,P002,D006,R007,4.1,0.9,3.2,5,
A005,P002,D006,R008,10.1,1.5,8.6,11.6,
A005,P002,D006,R009,3.4,0.8,2.6,4.2,
A005,P002,D006,R010,12.8,1.9,10.9,14.7,
A005,P002,D006,R011,4.5,1,3.5,5.5,
A005,P002,D006,R012,1.9,0.6,1.3,2.5,
A005,P002,D006,R013,100,,,,NA
A005,P002,D007,U001,14.4,2.5,11.9,16.9,
A005,P002,D007,U002,85.6,2.5,83.1,88.1,
A005,P002,D007,U003,100,,,,NA
A006,P001,D001,E001,80.9,9.9,71,90.8,
A006,P001,D001,E002,12.3,8.3,4,20.6,
A006,P001,D001,E003,5.4,5,0.4,10.4,
A006,P001,D001,E004,6.6,6.6,0,13.2,
A006,P001,D001,E005,,,,,S
A006,P001,D001,E006,,,,,S
A006,P001,D001,E007,100,,,,NA
A006,P001,D002,Q001,18.6,9.8,8.8,28.4,
A006,P001,D002,Q002,12.7,6.6,6.1,19.3,
A006,P001,D002,Q003,9.4,7.5,1.9,16.9,
A006,P001,D002,Q004,19.9,12.4,7.5,32.3,
A006,P001,D002,Q005,12.2,8.5,3.7,20.7,
A006,P001,D002,Q006,8,6.9,1.1,14.9,
A006,P001,D002,Q007,10.3,8.1,2.2,18.4,
A006,P001,D002,Q008,,,,,S
A006,P001,D002,Q009,,,,,S
A006,P001,D002,Q010,,,,,S
A006,P001,D002,Q011,,,,,S
A006,P001,D002,Q012,100,,,,NA
A006,P001,D003,L001,80.1,9.9,70.2,90,
A006,P001,D003,L002,,,,,S
A006,P001,D003,L003,15.8,9.4,6.4,25.2,
A006,P001,D003,L004,100,,,,NA
A006,P001,D004,T001,42.2,14.3,27.9,56.5,
A006,P001,D004,T002,40.1,14.5,25.6,54.6,
A006,P001,D004,T003,17.7,10.3,7.4,28,
A006,P001,D004,T004,100,,,,NA
A006,P001,D005,B001,8.7,4.7,4,13.4,
A006,P001,D005,B002,91.3,4.7,86.6,96,
A006,P001,D005,B003,100,,,,NA
A006,P001,D006,R001,,,,,S
A006,P001,D006,R002,40.2,12.2,28,52.4,
A006,P001,D006,R003,14.4,12.5,1.9,26.9,
A006,P001,D006,R004,5.3,4.6,0.7,9.9,
A006,P001,D006,R005,,,,,S
A006,P001,D006,R006,,,,,S
A006,P001,D006,R007,4.6,3.9,0.7,8.5,
A006,P001,D006,R008,12.1,7.7,4.4,19.8,
A006,P001,D006,R009,,,,,S
A006,P001,D006,R010,8.9,7.9,1,16.8,
A006,P001,D006,R011,,,,,S
A006,P001,D006,R012,,,,,S
A006,P001,D006,R013,100,,,,NA
A006,P001,D007,U001,22.1,13.2,8.9,35.3,
A006,P001,D007,U002,77.9,13.2,64.7,91.1,
A006,P001,D007,U003,100,,,,NA
A006,P002,D001,E001,69.4,2.5,66.9,71.9,
A006,P002,D001,E002,14,1.2,12.8,15.2,
A006,P002,D001,E003,6,1.1,4.9,7.1,
A006,P002,D001,E004,16.4,1.9,14.5,18.3,
A006,P002,D001,E005,1.1,0.5,0.6,1.6,
A006,P002,D001,E006,1.2,0.4,0.8,1.6,
A006,P002,D001,E007,100,,,,NA
A006,P002,D002,Q001,14.3,1.9,12.4,16.2,
A006,P002,D002,Q002,18.9,1.9,17,20.8,
A006,P002,D002,Q003,11,1.4,9.6,12.4,
A006,P002,D002,Q004,12.1,1.2,10.9,13.3,
A006,P002,D002,Q005,16.7,1.7,15,18.4,
A006,P002,D002,Q006,9.5,1.1,8.4,10.6,
A006,P002,D002,Q007,6,1.2,4.8,7.2,
A006,P002,D002,Q008,1.1,0.4,0.7,1.5,
A006,P002,D002,Q009,3.3,0.9,2.4,4.2,
A006,P002,D002,Q010,,,,,S
A006,P002,D002,Q011,5.3,1.1,4.2,6.4,
A006,P002,D002,Q012,100,,,,NA
A006,P002,D003,L001,84.7,1.4,83.3,86.1,
A006,P002,D003,L002,3.1,0.8,2.3,3.9,
A006,P002,D003,L003,10.4,1.3,9.1,11.7,
